reference	verdict	reason
히브리서 2:18	drop	주어 불명확
히브리서 4:16	keep	
히브리서 6:19	drop	난해(휘장)+끊김
히브리서 10:23	drop	난해(미쁘시니)+끊김
히브리서 10:35	keep	
히브리서 10:36	keep	
히브리서 11:1	drop	재검토(1차구간): 끊김
히브리서 12:3	drop	난해
히브리서 12:11	drop	난해(연달한)
히브리서 12:12	drop	끊김
히브리서 12:14	drop	본문 오타(좆으라)
히브리서 13:2	keep	
히브리서 13:3	keep	
히브리서 13:5	keep	
히브리서 13:8	drop	재검토(1차구간): 정체 서술
히브리서 13:16	keep	
야고보서 1:2	keep	
야고보서 1:5	keep	
야고보서 1:12	drop	재검토(1차구간): 난해
야고보서 1:17	drop	난해(회전하는 그림자)
야고보서 1:19	keep	
야고보서 1:22	keep	
야고보서 1:27	keep	
야고보서 2:17	keep	
야고보서 3:5-6	drop	무거움(지옥불)
야고보서 3:17	drop	난해(편벽)+끊김
야고보서 3:18	keep	
야고보서 4:6	drop	문맥 의존(그러나)
야고보서 4:10	keep	
야고보서 4:14	keep	
야고보서 5:7	drop	재검토(1차구간): 끊김
야고보서 5:11	drop	성경 인물 지식(욥)
베드로전서 1:6	drop	문맥 의존(그러므로)
베드로전서 1:7	drop	끊김
베드로전서 1:8-9	drop	신앙 고백
베드로전서 3:4	drop	난해
베드로전서 3:8-9	drop	중복(3:9)
베드로전서 3:9	drop	재검토(1차구간): 중복
베드로전서 3:11	drop	재검토(1차구간): 중복
베드로전서 4:8	keep	
베드로전서 4:9-10	drop	재검토(1차구간): 동음이의 오독
베드로전서 4:10	drop	중복(4:9-10)
베드로전서 4:12	drop	끊김
베드로전서 5:5	drop	대상 한정(젊은 자들)
베드로전서 5:6	drop	재검토(1차구간): 중복
베드로전서 5:10	drop	재검토(1차구간): 난삽
베드로후서 1:7	drop	문맥 조각
베드로후서 3:8	keep	
베드로후서 3:9	drop	재검토(1차구간): 난삽
요한일서 1:9-10	drop	합본이 망침(뒷부분 부정문)
요한일서 3:1	drop	재검토(1차구간): 난삽
요한일서 3:18	keep	
요한일서 4:7	drop	재검토(1차구간): 끊김
요한일서 4:12	keep	
요한일서 4:18	keep	
요한일서 4:19	keep	
요한일서 4:20	keep	
요한이서 1:6	drop	문맥 지시어(이것)
요한삼서 1:2	keep	
요한삼서 1:11	keep	
요한계시록 1:17b	drop	끊김
요한계시록 2:4	drop	문맥 의존(책망)
요한계시록 3:8	keep	
요한계시록 3:20	keep	
요한계시록 21:4	keep	
요한계시록 21:5b	drop	재검토(1차구간): 서사 잔여
마태복음 5:3	keep	
마태복음 5:4	keep	
마태복음 5:5	keep	
마태복음 5:6	keep	
마태복음 5:7	keep	
마태복음 5:8	keep	
마태복음 5:9	keep	
마태복음 5:13	keep	
마태복음 5:16	keep	
마태복음 5:23	drop	끊김(합본 실패)
마태복음 5:37	drop	재검토(1차구간): 난해
마태복음 5:39	drop	재검토(1차구간): 끊김
마태복음 5:41-42	keep	
마태복음 5:42	drop	중복(5:41-42)
마태복음 5:44	keep	
마태복음 5:46	drop	반문
마태복음 6:3	drop	2차검증: 끊김
마태복음 6:6	keep	
마태복음 6:7	keep	
마태복음 6:8	drop	재검토(1차구간): 문맥 지시어
마태복음 6:15	keep	
마태복음 6:19	drop	재검토(1차구간): 난해
마태복음 6:21	keep	
마태복음 6:24	drop	사용자 지적
마태복음 6:25	keep	
마태복음 6:26	keep	
마태복음 6:27	drop	반문·낯선 비유(키를 한 자)
마태복음 6:28	keep	
마태복음 6:30	drop	재검토(1차구간): 책망
마태복음 6:33	keep	
마태복음 6:34	keep	
마태복음 7:1	keep	
마태복음 7:2	keep	
마태복음 7:3	keep	
마태복음 7:5	drop	재검토(1차구간): 책망
마태복음 7:7-8	keep	
마태복음 7:11	keep	
마태복음 7:12	keep	
마태복음 7:24	drop	끊김(같으리니)
마태복음 9:12b	drop	재검토(1차구간): 문맥 필요
마태복음 9:13	keep	
마태복음 9:17	keep	
마태복음 10:16	keep	
마태복음 10:22	keep	
마태복음 10:29	drop	재검토(1차구간): 난해
마태복음 10:39	keep	
마태복음 10:42	drop	2차검증: 문맥 지시어
마태복음 11:28	keep	
마태복음 11:29	drop	재검토(1차구간): 끊김
마태복음 12:12	keep	
마태복음 12:25b	keep	
마태복음 12:34	drop	책망(독사의 자식들아)
마태복음 12:35	keep	
마태복음 13:22	drop	비유 해설 조각
마태복음 13:44	keep	
마태복음 13:57b	drop	재검토(1차구간): 이중부정
마태복음 14:27b	keep	
마태복음 15:11	drop	중복(15:18)
마태복음 15:18	keep	
마태복음 16:26	keep	
마태복음 17:20b	drop	책망(믿음이 적은 연고)
마태복음 18:3b	keep	
마태복음 18:4	drop	재검토(1차구간): 문맥 지시어
마태복음 18:10	drop	재검토(1차구간): 문맥 지시어
마태복음 18:12	drop	재검토(1차구간): 비유 설정만
마태복음 18:14	drop	2차검증: 문맥 지시어
마태복음 18:15-16	drop	2차검증: 난해
마태복음 18:20	keep	
마태복음 18:22b	drop	재검토(1차구간): 문맥 필요
마태복음 18:33-34	drop	무거움(옥졸에게 붙이니라)
마태복음 19:6	drop	2차검증: 문맥 지시어
마태복음 19:14b	keep	
마태복음 19:19	keep	
마태복음 19:21b	keep	
마태복음 19:24	drop	재검토(1차구간): 난해
마태복음 19:26b	keep	
마태복음 19:30	keep	
마태복음 20:26	drop	끊김(되고)
마태복음 20:28	drop	재검토(1차구간): 동음이의 오독
마태복음 21:22	keep	
마태복음 22:37b	keep	
마태복음 23:8	drop	교회 내부 문제
마태복음 23:12	keep	
마태복음 23:28	drop	재검토(1차구간): 책망
마태복음 24:12	drop	재검토(1차구간): 무거움
마태복음 25:35	drop	끊김(합본 실패)
마태복음 26:41	keep	
마태복음 28:20	keep	
마가복음 2:27b	drop	재검토(1차구간): 끊김
마가복음 3:35	keep	
마가복음 4:22	drop	재검토(1차구간): 이중부정
마가복음 4:24b	drop	끊김(받으리니)
마가복음 5:34b	keep	
마가복음 6:31b	drop	서사 프레임 잔여
마가복음 8:34b	drop	사용자 지적
마가복음 9:50	keep	
마가복음 11:25	drop	2차검증: 동음이의(혐의)
마가복음 12:43b	drop	문맥 필요
누가복음 1:37	keep	
누가복음 1:52	drop	끊김
누가복음 1:79	keep	
누가복음 2:14	keep	
누가복음 4:18-19	drop	재검토(1차구간): 길이·화자 사명
누가복음 6:21	keep	
누가복음 6:36	keep	
누가복음 6:38	keep	
누가복음 6:44	keep	
누가복음 6:46	drop	책망
누가복음 8:15	drop	비유 해설 조각
누가복음 9:58b	drop	재검토(1차구간): 동음이의 오독
누가복음 10:20	drop	사용자 지적
누가복음 10:42	drop	문맥 필요
누가복음 12:15b	keep	
누가복음 12:21	drop	문맥 필요(이와 같으니라)
누가복음 12:32	keep	
누가복음 14:10	drop	재검토(1차구간): 문맥 필요
누가복음 14:28	drop	재검토(1차구간): 비유 설정만
누가복음 15:7	keep	
누가복음 15:32	drop	문맥 필요(탕자)
누가복음 16:10	keep	
누가복음 17:3	keep	
누가복음 17:10	drop	2차검증: 문맥 지시어
누가복음 17:21	drop	문맥 필요
누가복음 18:1	drop	서사 프레임
누가복음 19:10	drop	재검토(1차구간): 동음이의 오독
누가복음 20:25b	drop	재검토(1차구간): 문맥 필요
누가복음 21:19	keep	
누가복음 23:43b	keep	
요한복음 7:24	keep	
요한복음 8:32	keep	
요한복음 9:3b	drop	재검토(1차구간): 문맥 지시어
요한복음 9:4	keep	
요한복음 12:24	keep	
요한복음 13:14	drop	재검토(1차구간): 문맥 필요
이사야 35:3	drop	끊김
이사야 40:29	drop	끊김
이사야 55:8	drop	끊김
이사야 58:9	drop	끊김
요한복음 15:11	drop	문맥 지시어
요한복음 16:33	drop	문맥 지시어
이사야 46:4	drop	문맥 지시어
이사야 57:18	drop	문맥 지시어
하박국 2:3	drop	문맥 지시어
이사야 30:18	keep	
호세아 6:3	drop	문맥 의존(그러나·그러므로)
아모스 5:13	drop	문맥 의존(그러나·그러므로)
요한복음 14:2-3	drop	난해
이사야 26:20	drop	난해
이사야 30:26	drop	난해
이사야 32:2	drop	난해
이사야 32:17	drop	난해
이사야 43:4	drop	난해
이사야 43:25	drop	난해
이사야 50:4	drop	난해
이사야 53:3	drop	난해
이사야 53:4	drop	난해
이사야 55:2	drop	난해
이사야 57:2	drop	난해
이사야 57:15b	drop	난해
이사야 57:19	drop	난해
이사야 61:3	drop	난해
이사야 61:7	drop	난해
예레미야애가 3:21-22	drop	난해
호세아 11:4	drop	난해
호세아 14:4	drop	난해
요엘 2:25	drop	난해
아모스 3:3-4	drop	난해
오바댜 1:12	drop	난해
이사야 2:22	drop	동음이의 오독
이사야 44:22	drop	동음이의 오독
이사야 51:12b	drop	동음이의 오독
이사야 53:6	drop	동음이의 오독
이사야 65:23	drop	동음이의 오독
아모스 5:24	drop	동음이의 오독
이사야 30:19	drop	대상 한정
이사야 54:4	drop	대상 한정
이사야 66:13	drop	대상 한정
예레미야애가 3:27-28	drop	대상 한정
이사야 50:10	drop	반문
이사야 42:3-4	drop	합본이 희석
요엘 2:13	drop	합본이 희석
이사야 54:7-8	drop	무거움
아모스 8:11b	drop	무거움
이사야 40:8	drop	서사 잔여(…하라)
예레미야애가 3:57b	drop	앙상함·중복
요한복음 13:34	keep	
요한복음 13:35	keep	
요한복음 14:1	keep	
요한복음 14:18	keep	
요한복음 14:27	keep	
요한복음 15:13	keep	
요한복음 15:15	keep	
요한복음 16:20	keep	
요한복음 16:21	keep	
요한복음 16:22	keep	
요한복음 10:10	keep	
요한복음 8:7b	keep	
요한복음 8:11b	keep	
이사야 1:17	keep	
이사야 1:18b	keep	
이사야 9:2	keep	
이사야 25:8	keep	
이사야 26:3	keep	
이사야 29:24	keep	
이사야 33:6	keep	
이사야 35:10	keep	
이사야 38:17	keep	
이사야 40:1b	keep	
이사야 40:11	keep	
이사야 40:31	keep	
이사야 41:10	keep	
이사야 41:17	keep	
이사야 43:2	keep	
이사야 43:18	keep	
이사야 49:15	keep	
이사야 54:10	keep	
이사야 55:1	keep	
이사야 55:7	keep	
이사야 58:6	keep	
이사야 58:11	keep	
이사야 60:1	keep	
이사야 60:22	drop	2차검증: 문맥 지시어
이사야 65:17	keep	
예레미야애가 3:25	keep	
예레미야애가 3:26	keep	
예레미야애가 3:33	keep	
